dfm.y = 0.004777,Intensity = 1.510997, heat flux = 0.007218
dfm.y = 0.011533,Intensity = 1.670283, heat flux = 0.026482
dfm.y = 0.011533,Intensity = 1.804819, heat flux = 0.047297
dfm.y = 0.004777,Intensity = 1.804819, heat flux = 0.055920
dfm.y = 0.029719,Intensity = 1.170881, heat flux = 0.090717
dfm.y = 0.071748,Intensity = 1.474196, heat flux = 0.196488
dfm.y = 0.071748,Intensity = 1.804767, heat flux = 0.325977
dfm.y = 0.029719,Intensity = 1.804767, heat flux = 0.379614
dfm.y = 0.068609,Intensity = 1.010451, heat flux = 0.448940
dfm.y = 0.165638,Intensity = 1.361405, heat flux = 0.674441
dfm.y = 0.165639,Intensity = 1.804325, heat flux = 0.973307
dfm.y = 0.068610,Intensity = 1.804325, heat flux = 1.097102
dfm.y = 0.097425,Intensity = 0.945593, heat flux = 1.189227
dfm.y = 0.235205,Intensity = 1.311147, heat flux = 1.497615
dfm.y = 0.235206,Intensity = 1.803736, heat flux = 1.921864
dfm.y = 0.097426,Intensity = 1.803736, heat flux = 2.097594
dfm.y = 0.097425,Intensity = 0.945593, heat flux = 2.189719
dfm.y = 0.235205,Intensity = 1.311148, heat flux = 2.498108
dfm.y = 0.235206,Intensity = 1.803736, heat flux = 2.922358
dfm.y = 0.097426,Intensity = 1.803736, heat flux = 3.098089
dfm.y = 0.068610,Intensity = 1.010450, heat flux = 3.167416
dfm.y = 0.165639,Intensity = 1.361404, heat flux = 3.392917
dfm.y = 0.165640,Intensity = 1.804325, heat flux = 3.691785
dfm.y = 0.068611,Intensity = 1.804325, heat flux = 3.815581
dfm.y = 0.029719,Intensity = 1.170880, heat flux = 3.850378
dfm.y = 0.071749,Intensity = 1.474196, heat flux = 3.956150
dfm.y = 0.071749,Intensity = 1.804767, heat flux = 4.085640
dfm.y = 0.029719,Intensity = 1.804767, heat flux = 4.139277
dfm.y = 0.011533,Intensity = 1.804819, heat flux = 4.160092
dfm.y = 0.004777,Intensity = 1.804818, heat flux = 4.168715
dfm.y = 0.004777,Intensity = 1.510995, heat flux = 4.175933
dfm.y = 0.011533,Intensity = 1.670282, heat flux = 4.195197
0.050000	 0.739894
dfm.y = 0.004777,Intensity = 1.756985, heat flux = 0.008393
dfm.y = 0.011533,Intensity = 1.794790, heat flux = 0.029093
dfm.y = 0.011533,Intensity = 1.804819, heat flux = 0.049909
dfm.y = 0.004777,Intensity = 1.804819, heat flux = 0.058531
dfm.y = 0.029719,Intensity = 1.582150, heat flux = 0.105551
dfm.y = 0.071748,Intensity = 1.744230, heat flux = 0.230696
dfm.y = 0.071748,Intensity = 1.804767, heat flux = 0.360185
dfm.y = 0.029719,Intensity = 1.804672, heat flux = 0.413819
dfm.y = 0.068609,Intensity = 1.455188, heat flux = 0.513659
dfm.y = 0.165638,Intensity = 1.695719, heat flux = 0.794535
dfm.y = 0.165639,Intensity = 1.804321, heat flux = 1.093400
dfm.y = 0.068610,Intensity = 1.803699, heat flux = 1.217152
dfm.y = 0.097425,Intensity = 1.395764, heat flux = 1.353135
dfm.y = 0.235205,Intensity = 1.669477, heat flux = 1.745804
dfm.y = 0.235206,Intensity = 1.803727, heat flux = 2.170051
dfm.y = 0.097426,Intensity = 1.802549, heat flux = 2.345666
dfm.y = 0.097425,Intensity = 1.395764, heat flux = 2.481648
dfm.y = 0.235205,Intensity = 1.669477, heat flux = 2.874318
dfm.y = 0.235206,Intensity = 1.803727, heat flux = 3.298566
dfm.y = 0.097426,Intensity = 1.802549, heat flux = 3.474181
dfm.y = 0.068610,Intensity = 1.455187, heat flux = 3.574021
dfm.y = 0.165639,Intensity = 1.695719, heat flux = 3.854899
dfm.y = 0.165640,Intensity = 1.804321, heat flux = 4.153766
dfm.y = 0.068611,Intensity = 1.803699, heat flux = 4.277519
dfm.y = 0.029719,Intensity = 1.582149, heat flux = 4.324539
dfm.y = 0.071749,Intensity = 1.744229, heat flux = 4.449686
dfm.y = 0.071749,Intensity = 1.804767, heat flux = 4.579175
dfm.y = 0.029719,Intensity = 1.804672, heat flux = 4.632809
dfm.y = 0.011533,Intensity = 1.804819, heat flux = 4.653625
dfm.y = 0.004777,Intensity = 1.804818, heat flux = 4.662247
dfm.y = 0.004777,Intensity = 1.756984, heat flux = 4.670641
dfm.y = 0.011533,Intensity = 1.794790, heat flux = 4.691341
0.150000	 0.827397
dfm.y = 0.004777,Intensity = 1.797031, heat flux = 0.008585
dfm.y = 0.011533,Intensity = 1.804071, heat flux = 0.029392
dfm.y = 0.011533,Intensity = 1.804819, heat flux = 0.050207
dfm.y = 0.004777,Intensity = 1.804818, heat flux = 0.058829
dfm.y = 0.029719,Intensity = 1.726607, heat flux = 0.110142
dfm.y = 0.071748,Intensity = 1.793686, heat flux = 0.238836
dfm.y = 0.071748,Intensity = 1.804765, heat flux = 0.368325
dfm.y = 0.029719,Intensity = 1.804401, heat flux = 0.421950
dfm.y = 0.068609,Intensity = 1.650933, heat flux = 0.535220
dfm.y = 0.165638,Intensity = 1.777751, heat flux = 0.829684
dfm.y = 0.165639,Intensity = 1.804304, heat flux = 1.128546
dfm.y = 0.068610,Intensity = 1.802276, heat flux = 1.252201
dfm.y = 0.097425,Intensity = 1.610078, heat flux = 1.409063
