dfm.y = 0.004266,Intensity = 0.088274, heat flux = 0.000377
dfm.y = 0.010299,Intensity = 0.194967, heat flux = 0.002385
dfm.y = 0.010299,Intensity = 0.708669, heat flux = 0.009683
dfm.y = 0.004266,Intensity = 0.708670, heat flux = 0.012706
dfm.y = 0.034596,Intensity = 0.032730, heat flux = 0.013839
dfm.y = 0.083522,Intensity = 0.074927, heat flux = 0.020097
dfm.y = 0.083522,Intensity = 0.300117, heat flux = 0.045163
dfm.y = 0.034596,Intensity = 0.300117, heat flux = 0.055546
dfm.y = 0.077489,Intensity = 0.022669, heat flux = 0.057303
dfm.y = 0.187075,Intensity = 0.052237, heat flux = 0.067075
dfm.y = 0.187075,Intensity = 0.213012, heat flux = 0.106924
dfm.y = 0.077490,Intensity = 0.213012, heat flux = 0.123430
dfm.y = 0.107819,Intensity = 0.019646, heat flux = 0.125549
dfm.y = 0.260298,Intensity = 0.045360, heat flux = 0.137356
dfm.y = 0.260299,Intensity = 0.185971, heat flux = 0.185764
dfm.y = 0.107820,Intensity = 0.185971, heat flux = 0.205815
dfm.y = 0.107819,Intensity = 0.019646, heat flux = 0.207933
dfm.y = 0.260299,Intensity = 0.045360, heat flux = 0.219740
dfm.y = 0.260299,Intensity = 0.185971, heat flux = 0.268148
dfm.y = 0.107820,Intensity = 0.185971, heat flux = 0.288200
dfm.y = 0.077489,Intensity = 0.022669, heat flux = 0.289957
dfm.y = 0.187076,Intensity = 0.052237, heat flux = 0.299729
dfm.y = 0.187076,Intensity = 0.213011, heat flux = 0.339578
dfm.y = 0.077490,Intensity = 0.213012, heat flux = 0.356084
dfm.y = 0.034596,Intensity = 0.032730, heat flux = 0.357217
dfm.y = 0.083523,Intensity = 0.074927, heat flux = 0.363475
dfm.y = 0.083523,Intensity = 0.300117, heat flux = 0.388541
dfm.y = 0.034596,Intensity = 0.300117, heat flux = 0.398924
dfm.y = 0.010299,Intensity = 0.708666, heat flux = 0.406223
dfm.y = 0.004266,Intensity = 0.708666, heat flux = 0.409246
dfm.y = 0.004266,Intensity = 0.088273, heat flux = 0.409623
dfm.y = 0.010299,Intensity = 0.194965, heat flux = 0.411631
0.050000	 0.072598
dfm.y = 0.004266,Intensity = 0.172229, heat flux = 0.000735
dfm.y = 0.010299,Intensity = 0.356085, heat flux = 0.004402
dfm.y = 0.010299,Intensity = 0.705358, heat flux = 0.011666
dfm.y = 0.004266,Intensity = 0.653672, heat flux = 0.014455
dfm.y = 0.034596,Intensity = 0.064866, heat flux = 0.016699
dfm.y = 0.083522,Intensity = 0.140543, heat flux = 0.028438
dfm.y = 0.083522,Intensity = 0.298345, heat flux = 0.053356
dfm.y = 0.034596,Intensity = 0.273059, heat flux = 0.062803
dfm.y = 0.077489,Intensity = 0.045053, heat flux = 0.066294
dfm.y = 0.187075,Intensity = 0.098457, heat flux = 0.084713
dfm.y = 0.187075,Intensity = 0.211702, heat flux = 0.124317
dfm.y = 0.077490,Intensity = 0.193306, heat flux = 0.139296
dfm.y = 0.107819,Intensity = 0.039078, heat flux = 0.143510
dfm.y = 0.260298,Intensity = 0.085620, heat flux = 0.165796
dfm.y = 0.260299,Intensity = 0.184814, heat flux = 0.213903
dfm.y = 0.107820,Intensity = 0.168635, heat flux = 0.232085
dfm.y = 0.107819,Intensity = 0.039078, heat flux = 0.236299
dfm.y = 0.260299,Intensity = 0.085620, heat flux = 0.258586
dfm.y = 0.260299,Intensity = 0.184814, heat flux = 0.306692
dfm.y = 0.107820,Intensity = 0.168635, heat flux = 0.324875
dfm.y = 0.077489,Intensity = 0.045053, heat flux = 0.328366
dfm.y = 0.187076,Intensity = 0.098457, heat flux = 0.346785
dfm.y = 0.187076,Intensity = 0.211702, heat flux = 0.386389
dfm.y = 0.077490,Intensity = 0.193306, heat flux = 0.401368
dfm.y = 0.034596,Intensity = 0.064866, heat flux = 0.403612
dfm.y = 0.083523,Intensity = 0.140543, heat flux = 0.415351
dfm.y = 0.083523,Intensity = 0.298345, heat flux = 0.440270
dfm.y = 0.034596,Intensity = 0.273059, heat flux = 0.449716
dfm.y = 0.010299,Intensity = 0.705355, heat flux = 0.456981
dfm.y = 0.004266,Intensity = 0.653668, heat flux = 0.459770
dfm.y = 0.004266,Intensity = 0.172227, heat flux = 0.460504
dfm.y = 0.010299,Intensity = 0.356083, heat flux = 0.464172
0.150000	 0.081864
dfm.y = 0.004266,Intensity = 0.252070, heat flux = 0.001075
dfm.y = 0.010299,Intensity = 0.480265, heat flux = 0.006022
dfm.y = 0.010299,Intensity = 0.698896, heat flux = 0.013219
dfm.y = 0.004266,Intensity = 0.595375, heat flux = 0.015759
dfm.y = 0.034596,Intensity = 0.096415, heat flux = 0.019095
dfm.y = 0.083522,Intensity = 0.193636, heat flux = 0.035268
dfm.y = 0.083522,Intensity = 0.294979, heat flux = 0.059905
dfm.y = 0.034596,Intensity = 0.245242, heat flux = 0.068390
dfm.y = 0.077489,Intensity = 0.067153, heat flux = 0.073593
dfm.y = 0.187075,Intensity = 0.136179, heat flux = 0.099069
dfm.y = 0.187075,Intensity = 0.209226, heat flux = 0.138210
dfm.y = 0.077490,Intensity = 0.173157, heat flux = 0.151628
dfm.y = 0.107819,Intensity = 0.058295, heat flux = 0.157913
dfm.y = 0.260298,Intensity = 0.118563, heat flux = 0.188775
dfm.y = 0.260299,Intensity = 0.182629, heat flux = 0.236313
dfm.y = 0.107820,Intensity = 0.150936, heat flux = 0.252587
dfm.y = 0.107819,Intensity = 0.058295, heat flux = 0.258872
dfm.y = 0.260299,Intensity = 0.118563, heat flux = 0.289734
dfm.y = 0.260299,Intensity = 0.182629, heat flux = 0.337272
dfm.y = 0.107820,Intensity = 0.150936, heat flux = 0.353546
dfm.y = 0.077489,Intensity = 0.067153, heat flux = 0.358749
dfm.y = 0.187076,Intensity = 0.136179, heat flux = 0.384225
dfm.y = 0.187076,Intensity = 0.209226, heat flux = 0.423366
dfm.y = 0.077490,Intensity = 0.173156, heat flux = 0.436784
dfm.y = 0.034596,Intensity = 0.096415, heat flux = 0.440120
dfm.y = 0.083523,Intensity = 0.193636, heat flux = 0.456293
dfm.y = 0.083523,Intensity = 0.294979, heat flux = 0.480930
dfm.y = 0.034596,Intensity = 0.245241, heat flux = 0.489415
dfm.y = 0.010299,Intensity = 0.698892, heat flux = 0.496613
dfm.y = 0.004266,Intensity = 0.595371, heat flux = 0.499153
dfm.y = 0.004266,Intensity = 0.252068, heat flux = 0.500228
dfm.y = 0.010299,Intensity = 0.480262, heat flux = 0.505174
0.250000	 0.089096
dfm.y = 0.004266,Intensity = 0.327985, heat flux = 0.001399
dfm.y = 0.010299,Intensity = 0.569088, heat flux = 0.007260
dfm.y = 0.010299,Intensity = 0.686784, heat flux = 0.014333
dfm.y = 0.004266,Intensity = 0.533735, heat flux = 0.016610
dfm.y = 0.034596,Intensity = 0.127383, heat flux = 0.021017
dfm.y = 0.083522,Intensity = 0.233220, heat flux = 0.040496
dfm.y = 0.083522,Intensity = 0.288841, heat flux = 0.064621
dfm.y = 0.034596,Intensity = 0.216724, heat flux = 0.072119
dfm.y = 0.077489,Intensity = 0.088968, heat flux = 0.079013
dfm.y = 0.187075,Intensity = 0.164510, heat flux = 0.109788
dfm.y = 0.187075,Intensity = 0.204733, heat flux = 0.148089
dfm.y = 0.077490,Intensity = 0.152613, heat flux = 0.159915
dfm.y = 0.107819,Intensity = 0.077298, heat flux = 0.168249
dfm.y = 0.260298,Intensity = 0.143357, heat flux = 0.205565
dfm.y = 0.260299,Intensity = 0.178670, heat flux = 0.252072
dfm.y = 0.107820,Intensity = 0.132921, heat flux = 0.266404
dfm.y = 0.107819,Intensity = 0.077298, heat flux = 0.274738
dfm.y = 0.260299,Intensity = 0.143357, heat flux = 0.312053
dfm.y = 0.260299,Intensity = 0.178670, heat flux = 0.358561
dfm.y = 0.107820,Intensity = 0.132921, heat flux = 0.372892
dfm.y = 0.077489,Intensity = 0.088968, heat flux = 0.379786
dfm.y = 0.187076,Intensity = 0.164509, heat flux = 0.410562
dfm.y = 0.187076,Intensity = 0.204733, heat flux = 0.448863
dfm.y = 0.077490,Intensity = 0.152612, heat flux = 0.460689
dfm.y = 0.034596,Intensity = 0.127383, heat flux = 0.465096
dfm.y = 0.083523,Intensity = 0.233220, heat flux = 0.484575
dfm.y = 0.083523,Intensity = 0.288841, heat flux = 0.508700
dfm.y = 0.034596,Intensity = 0.216724, heat flux = 0.516197
