dfm.y = 0.004266,Intensity = 1.510997, heat flux = 0.006446
dfm.y = 0.010299,Intensity = 1.670283, heat flux = 0.023648
dfm.y = 0.010299,Intensity = 1.804819, heat flux = 0.042236
dfm.y = 0.004266,Intensity = 1.804819, heat flux = 0.049935
dfm.y = 0.034596,Intensity = 1.170881, heat flux = 0.090443
dfm.y = 0.083522,Intensity = 1.474196, heat flux = 0.213571
dfm.y = 0.083522,Intensity = 1.804767, heat flux = 0.364309
dfm.y = 0.034596,Intensity = 1.804767, heat flux = 0.426748
dfm.y = 0.077489,Intensity = 1.010451, heat flux = 0.505046
dfm.y = 0.187075,Intensity = 1.361405, heat flux = 0.759731
dfm.y = 0.187075,Intensity = 1.804325, heat flux = 1.097276
dfm.y = 0.077490,Intensity = 1.804325, heat flux = 1.237093
dfm.y = 0.107819,Intensity = 0.945593, heat flux = 1.339045
dfm.y = 0.260298,Intensity = 1.311147, heat flux = 1.680335
dfm.y = 0.260299,Intensity = 1.803736, heat flux = 2.149845
dfm.y = 0.107820,Intensity = 1.803736, heat flux = 2.344323
dfm.y = 0.107819,Intensity = 0.945593, heat flux = 2.446276
dfm.y = 0.260299,Intensity = 1.311148, heat flux = 2.787566
dfm.y = 0.260299,Intensity = 1.803736, heat flux = 3.257077
dfm.y = 0.107820,Intensity = 1.803736, heat flux = 3.451555
dfm.y = 0.077489,Intensity = 1.010450, heat flux = 3.529855
dfm.y = 0.187076,Intensity = 1.361404, heat flux = 3.784541
dfm.y = 0.187076,Intensity = 1.804325, heat flux = 4.122087
dfm.y = 0.077490,Intensity = 1.804325, heat flux = 4.261904
dfm.y = 0.034596,Intensity = 1.170880, heat flux = 4.302412
dfm.y = 0.083523,Intensity = 1.474196, heat flux = 4.425541
dfm.y = 0.083523,Intensity = 1.804767, heat flux = 4.576280
dfm.y = 0.034596,Intensity = 1.804767, heat flux = 4.638719
dfm.y = 0.010299,Intensity = 1.804819, heat flux = 4.657307
dfm.y = 0.004266,Intensity = 1.804818, heat flux = 4.665006
dfm.y = 0.004266,Intensity = 1.510995, heat flux = 4.671452
dfm.y = 0.010299,Intensity = 1.670282, heat flux = 4.688654
0.050000	 0.826923
dfm.y = 0.004266,Intensity = 1.756985, heat flux = 0.007495
dfm.y = 0.010299,Intensity = 1.794790, heat flux = 0.025980
dfm.y = 0.010299,Intensity = 1.804819, heat flux = 0.044567
dfm.y = 0.004266,Intensity = 1.804819, heat flux = 0.052267
dfm.y = 0.034596,Intensity = 1.582150, heat flux = 0.107003
dfm.y = 0.083522,Intensity = 1.744230, heat flux = 0.252685
dfm.y = 0.083522,Intensity = 1.804767, heat flux = 0.403423
dfm.y = 0.034596,Intensity = 1.804672, heat flux = 0.465858
dfm.y = 0.077489,Intensity = 1.455188, heat flux = 0.578619
dfm.y = 0.187075,Intensity = 1.695719, heat flux = 0.895846
dfm.y = 0.187075,Intensity = 1.804321, heat flux = 1.233390
dfm.y = 0.077490,Intensity = 1.803699, heat flux = 1.373158
dfm.y = 0.107819,Intensity = 1.395764, heat flux = 1.523647
dfm.y = 0.260298,Intensity = 1.669477, heat flux = 1.958209
dfm.y = 0.260299,Intensity = 1.803727, heat flux = 2.427717
dfm.y = 0.107820,Intensity = 1.802549, heat flux = 2.622068
dfm.y = 0.107819,Intensity = 1.395764, heat flux = 2.772557
dfm.y = 0.260299,Intensity = 1.669477, heat flux = 3.207120
dfm.y = 0.260299,Intensity = 1.803727, heat flux = 3.676628
dfm.y = 0.107820,Intensity = 1.802549, heat flux = 3.870979
dfm.y = 0.077489,Intensity = 1.455187, heat flux = 3.983740
dfm.y = 0.187076,Intensity = 1.695719, heat flux = 4.300969
dfm.y = 0.187076,Intensity = 1.804321, heat flux = 4.638515
dfm.y = 0.077490,Intensity = 1.803699, heat flux = 4.778284
dfm.y = 0.034596,Intensity = 1.582149, heat flux = 4.833020
dfm.y = 0.083523,Intensity = 1.744229, heat flux = 4.978703
dfm.y = 0.083523,Intensity = 1.804767, heat flux = 5.129442
dfm.y = 0.034596,Intensity = 1.804672, heat flux = 5.191877
dfm.y = 0.010299,Intensity = 1.804819, heat flux = 5.210465
dfm.y = 0.004266,Intensity = 1.804818, heat flux = 5.218164
dfm.y = 0.004266,Intensity = 1.756984, heat flux = 5.225660
dfm.y = 0.010299,Intensity = 1.794790, heat flux = 5.244145
0.150000	 0.924893
dfm.y = 0.004266,Intensity = 1.797031, heat flux = 0.007666
dfm.y = 0.010299,Intensity = 1.804071, heat flux = 0.026246
dfm.y = 0.010299,Intensity = 1.804819, heat flux = 0.044834
dfm.y = 0.004266,Intensity = 1.804818, heat flux = 0.052533
