dfm.y = 0.011533,Intensity = 1.660033, heat flux = 0.017097
dfm.y = 0.004777,Intensity = 1.593261, heat flux = 0.023893
dfm.y = 0.004777,Intensity = 1.679538, heat flux = 0.031058
dfm.y = 0.011533,Intensity = 1.697747, heat flux = 0.048543
dfm.y = 0.071748,Intensity = 1.452171, heat flux = 0.169832
dfm.y = 0.029719,Intensity = 1.317670, heat flux = 0.215418
dfm.y = 0.029719,Intensity = 1.492455, heat flux = 0.267051
dfm.y = 0.071749,Intensity = 1.535036, heat flux = 0.395261
dfm.y = 0.165639,Intensity = 1.334323, heat flux = 0.644880
dfm.y = 0.068610,Intensity = 1.174387, heat flux = 0.735882
dfm.y = 0.068609,Intensity = 1.382271, heat flux = 0.842992
dfm.y = 0.165639,Intensity = 1.437652, heat flux = 1.111943
dfm.y = 0.235205,Intensity = 1.282231, heat flux = 1.445705
dfm.y = 0.097425,Intensity = 1.113760, heat flux = 1.565790
dfm.y = 0.097424,Intensity = 1.332636, heat flux = 1.709472
dfm.y = 0.235206,Intensity = 1.393342, heat flux = 2.072159
dfm.y = 0.235206,Intensity = 1.282231, heat flux = 2.405922
dfm.y = 0.097425,Intensity = 1.113759, heat flux = 2.526007
dfm.y = 0.097424,Intensity = 1.332636, heat flux = 2.669689
dfm.y = 0.235206,Intensity = 1.393342, heat flux = 3.032376
dfm.y = 0.165639,Intensity = 1.334322, heat flux = 3.281996
dfm.y = 0.068610,Intensity = 1.174387, heat flux = 3.372999
dfm.y = 0.068609,Intensity = 1.382270, heat flux = 3.480109
dfm.y = 0.165640,Intensity = 1.437651, heat flux = 3.749061
dfm.y = 0.071749,Intensity = 1.452171, heat flux = 3.870350
dfm.y = 0.029719,Intensity = 1.317670, heat flux = 3.915936
dfm.y = 0.029719,Intensity = 1.492455, heat flux = 3.967569
dfm.y = 0.071749,Intensity = 1.535036, heat flux = 4.095780
dfm.y = 0.004777,Intensity = 1.679537, heat flux = 4.102945
dfm.y = 0.011533,Intensity = 1.697747, heat flux = 4.120430
dfm.y = 0.011533,Intensity = 1.660032, heat flux = 4.137527
dfm.y = 0.004777,Intensity = 1.593260, heat flux = 4.144324
0.166667	 0.730921
dfm.y = 0.011533,Intensity = 1.696927, heat flux = 0.017477
dfm.y = 0.004777,Intensity = 1.675312, heat flux = 0.024623
dfm.y = 0.004777,Intensity = 1.675312, heat flux = 0.031770
dfm.y = 0.011533,Intensity = 1.696927, heat flux = 0.049247
dfm.y = 0.071748,Intensity = 1.530781, heat flux = 0.177101
dfm.y = 0.029719,Intensity = 1.473925, heat flux = 0.228093
dfm.y = 0.029719,Intensity = 1.473926, heat flux = 0.279085
dfm.y = 0.071749,Intensity = 1.530781, heat flux = 0.406940
dfm.y = 0.165639,Intensity = 1.430692, heat flux = 0.674587
dfm.y = 0.068610,Intensity = 1.354613, heat flux = 0.779555
dfm.y = 0.068609,Intensity = 1.354613, heat flux = 0.884521
dfm.y = 0.165639,Intensity = 1.430691, heat flux = 1.152170
dfm.y = 0.235205,Intensity = 1.385091, heat flux = 1.512707
dfm.y = 0.097425,Intensity = 1.301118, heat flux = 1.652992
dfm.y = 0.097424,Intensity = 1.301118, heat flux = 1.793277
dfm.y = 0.235206,Intensity = 1.385091, heat flux = 2.153815
dfm.y = 0.235206,Intensity = 1.385091, heat flux = 2.514353
dfm.y = 0.097425,Intensity = 1.301118, heat flux = 2.654639
dfm.y = 0.097424,Intensity = 1.301118, heat flux = 2.794923
dfm.y = 0.235206,Intensity = 1.385091, heat flux = 3.155462
dfm.y = 0.165639,Intensity = 1.430691, heat flux = 3.423110
dfm.y = 0.068610,Intensity = 1.354612, heat flux = 3.528078
dfm.y = 0.068609,Intensity = 1.354612, heat flux = 3.633046
dfm.y = 0.165640,Intensity = 1.430690, heat flux = 3.900695
dfm.y = 0.071749,Intensity = 1.530781, heat flux = 4.028550
dfm.y = 0.029719,Intensity = 1.473925, heat flux = 4.079542
dfm.y = 0.029719,Intensity = 1.473926, heat flux = 4.130534
dfm.y = 0.071749,Intensity = 1.530781, heat flux = 4.258389
dfm.y = 0.004777,Intensity = 1.675311, heat flux = 4.265536
dfm.y = 0.011533,Intensity = 1.696927, heat flux = 4.283013
dfm.y = 0.011533,Intensity = 1.696927, heat flux = 4.300490
dfm.y = 0.004777,Intensity = 1.675311, heat flux = 4.307637
0.500000	 0.759724
