// First ray in my case
Dx = 0.005733, Dy = 0.013840, I = 6.742799e+03
Dx = 0.005733, Dy = 0.013840, I = 7.467470e+03
Dx = 0.005733, Dy = 0.013840, I = 7.545352e+03
Dx = 0.005733, Dy = 0.013840, I = 1.146778e+04
Dx = 0.005733, Dy = 0.013840, I = 1.338598e+04
Dx = 0.005733, Dy = 0.013840, I = 1.369166e+04
Dx = 0.005733, Dy = 0.013840, I = 1.312327e+04
Dx = 0.005733, Dy = 0.013840, I = 1.569993e+04
Dx = 0.005733, Dy = 0.013840, I = 1.618097e+04

// 2nd Ray
Dx = 0.013840, Dy = 0.005733, I = 7.951321e+03
Dx = 0.013840, Dy = 0.005733, I = 1.038417e+04
Dx = 0.013840, Dy = 0.005733, I = 1.112854e+04
Dx = 0.013840, Dy = 0.005733, I = 1.025925e+04
Dx = 0.013840, Dy = 0.005733, I = 1.420688e+04
Dx = 0.013840, Dy = 0.005733, I = 1.569805e+04
Dx = 0.013840, Dy = 0.005733, I = 1.059420e+04
Dx = 0.013840, Dy = 0.005733, I = 1.487903e+04
Dx = 0.013840, Dy = 0.005733, I = 1.659672e+04

// 3rd Ray
Dx = 0.013840, Dy = -0.005733, I = 1.059420e+04
Dx = 0.013840, Dy = -0.005733, I = 1.487903e+04
Dx = 0.013840, Dy = -0.005733, I = 1.659672e+04
Dx = 0.013840, Dy = -0.005733, I = 1.025925e+04
Dx = 0.013840, Dy = -0.005733, I = 1.420688e+04
Dx = 0.013840, Dy = -0.005733, I = 1.569805e+04
Dx = 0.013840, Dy = -0.005733, I = 7.951321e+03
Dx = 0.013840, Dy = -0.005733, I = 1.038417e+04
Dx = 0.013840, Dy = -0.005733, I = 1.112854e+04

// 4th ray
Dx = 0.005733, Dy = -0.013840, I = 1.312327e+04
Dx = 0.005733, Dy = -0.013840, I = 1.569993e+04
Dx = 0.005733, Dy = -0.013840, I = 1.618097e+04
Dx = 0.005733, Dy = -0.013840, I = 1.146778e+04
Dx = 0.005733, Dy = -0.013840, I = 1.338598e+04
Dx = 0.005733, Dy = -0.013840, I = 1.369166e+04
Dx = 0.005733, Dy = -0.013840, I = 6.742799e+03
Dx = 0.005733, Dy = -0.013840, I = 7.467470e+03
Dx = 0.005733, Dy = -0.013840, I = 7.545352e+03

// 5th ray
Dx = -0.005733, Dy = -0.013840, I = 1.610745e+04
Dx = -0.005733, Dy = -0.013840, I = 1.529241e+04
Dx = -0.005733, Dy = -0.013840, I = 1.095414e+04
Dx = -0.005733, Dy = -0.013840, I = 1.365061e+04
Dx = -0.005733, Dy = -0.013840, I = 1.312136e+04
Dx = -0.005733, Dy = -0.013840, I = 9.814189e+03
Dx = -0.005733, Dy = -0.013840, I = 7.537794e+03
Dx = -0.005733, Dy = -0.013840, I = 7.397145e+03
Dx = -0.005733, Dy = -0.013840, I = 6.088454e+03

// 6th ray
Dx = -0.013840, Dy = -0.005733, I = 1.610745e+04
Dx = -0.013840, Dy = -0.005733, I = 1.365061e+04
Dx = -0.013840, Dy = -0.005733, I = 7.537794e+03
Dx = -0.013840, Dy = -0.005733, I = 1.529241e+04
Dx = -0.013840, Dy = -0.005733, I = 1.312136e+04
Dx = -0.013840, Dy = -0.005733, I = 7.397145e+03
Dx = -0.013840, Dy = -0.005733, I = 1.095414e+04
Dx = -0.013840, Dy = -0.005733, I = 9.814189e+03
Dx = -0.013840, Dy = -0.005733, I = 6.088454e+03

// 7th ray
Dx = -0.013840, Dy = 0.005733, I = 1.095414e+04
Dx = -0.013840, Dy = 0.005733, I = 9.814189e+03
Dx = -0.013840, Dy = 0.005733, I = 6.088454e+03
Dx = -0.013840, Dy = 0.005733, I = 1.529241e+04
